Region,Subregion,Country,State/Province,Project Name,Latitude,Longitude,Location accuracy,Project_phase,Project_scale,Technology Type,Start year,Estimated_start_year,Capacity (MW),Capacity Rating,Estimated_capacity(MWdc),Estimated land area(hectares/MW),Estimated spatial footprint(m²/MW)
Europe,Western Europe,France,Occitanie,Albi Confidentiel solar farm III,43.9278,2.1479,approximate,Active,Medium,PV,2012,2012,1.3,MWac,1.625,3.65625,40625
Europe,Western Europe,France,Occitanie,Albi Confidentiel solar farm IV,43.9278,2.1479,approximate,Active,Medium,PV,2021,2021,4.6,MWac,5.75,12.9375,143750
Europe,Western Europe,France,Occitanie,Albias Confidentiel solar farm I,44.0908,1.4503,approximate,Active,Medium,PV,2011,2011,2,MWac,2.5,5.625,62500
Europe,Western Europe,France,Occitanie,Albias Confidentiel solar farm II,44.0908,1.4503,approximate,Active,Medium,PV,2022,2022,4.1,MWac,5.125,11.53125,128125
Europe,Western Europe,France,,Albias Confidentiel solar project II,44.0908,1.4503,approximate,Active,Medium,PV,0,2017,1.6,MWac,2,4.5,50000
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Albon Confidentiel solar farm,45.2451,4.8489,approximate,Active,Medium,PV,2021,2021,2.2,MWac,2.75,6.1875,68750
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Alixan Confidentiel solar farm,44.975,5.0264,approximate,Active,Medium,PV,2016,2016,1,MWac,1.25,2.8125,31250
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Alleins Confidentiel solar farm,43.7044,5.1622,approximate,Active,Medium,PV,2022,2022,7.3,MWac,9.125,20.53125,228125
Europe,Western Europe,France,Bretagne,Allineuc Confidentiel solar farm,48.3109,-2.8725,approximate,Active,Medium,PV,2021,2021,1.7,MWac,2.125,4.78125,53125
Europe,Western Europe,France,Pays de la Loire,Allonnes Confidentiel solar farm I,47.9693,0.1579,approximate,Active,Medium,PV,2015,2015,2.3,MWac,2.875,6.46875,71875
Europe,Western Europe,France,Pays de la Loire,Allonnes Confidentiel solar farm II,47.9693,0.1579,approximate,Active,Medium,PV,2015,2015,3.8,MWac,4.75,10.6875,118750
Europe,Western Europe,France,Occitanie,Alzonne Confidentiel solar farm,43.2537,2.178,approximate,Active,Medium,PV,2019,2019,3.2,MWac,4,9,100000
Europe,Western Europe,France,,Alès Confidentiel solar project,44.1254,4.0853,approximate,Active,Medium,PV,0,2017,2.4,MWac,3,6.75,75000
Europe,Western Europe,France,Occitanie,Alénya Confidentiel solar farm I,42.6391,2.9807,approximate,Active,Medium,PV,2018,2018,3.2,MWac,4,9,100000
Europe,Western Europe,France,Occitanie,Alénya Confidentiel solar farm II,42.6391,2.9807,approximate,Active,Medium,PV,2021,2021,3.8,MWac,4.75,10.6875,118750
Europe,Western Europe,France,,Amance Pv solar project,47.8086,6.1029,approximate,Active,Medium,PV,0,2017,2.4,MWac,3,6.75,75000
Europe,Western Europe,France,,Ambert Confidentiel solar project,45.5504,3.7426,approximate,Active,Medium,PV,2023,2023,2.8,MWac,3.5,7.875,87500
Europe,Western Europe,France,Centre-Val de Loire,Ambillou Confidentiel solar farm,47.4519,0.4462,approximate,Active,Medium,PV,2020,2020,12.3,MWac,15.375,34.59375,384375
Europe,Western Europe,France,Nouvelle-Aquitaine,Ambès Confidentiel solar farm,45.0122,-0.5292,approximate,Active,Medium,PV,2021,2021,8,MWac,10,22.5,250000
Europe,Western Europe,France,Centre-Val de Loire,Amilly Confidentiel solar farm,47.9779,2.7673,approximate,Active,Medium,PV,2021,2021,2.2,MWac,2.75,6.1875,68750
Europe,Western Europe,France,Occitanie,Ancien site Arcelor de Laudun l'Ardoise solar farm,44.1057,4.6572,approximate,Active,Medium,PV,2021,2021,10.2,MWac,12.75,28.6875,318750
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Andrezieux solar farm,45.5251,4.2595,approximate,Active,Medium,PV,2020,2020,2.6,MWac,3.25,7.3125,81250
Europe,Western Europe,France,Nouvelle-Aquitaine,Anglet Confidentiel solar farm,43.4814,-1.515,approximate,Active,Medium,PV,2013,2013,1.8,MWac,2.25,5.0625,56250
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Anneyron Confidentiel solar farm,45.2696,4.8845,approximate,Active,Medium,PV,2018,2018,2,MWac,2.5,5.625,62500
Europe,Western Europe,France,,Antugv01 - Adp 01 De La Centrale Solaire PV De Antugnac solar project,42.9556,2.2256,approximate,Active,Medium,PV,2020,2020,6.4,MWac,8,18,200000
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Apprieu Confidentiel solar farm,45.3993,5.5025,approximate,Active,Medium,PV,2018,2018,8.8,MWac,11,24.75,275000
Europe,Western Europe,France,Occitanie,Aramon Confidentiel solar farm,43.8909,4.6811,approximate,Active,Medium,PV,2019,2019,3.8,MWac,4.75,10.6875,118750
Europe,Western Europe,France,Occitanie,Argences en Aubrac Confidentiel solar farm,44.7812,2.8194,approximate,Active,Medium,PV,2011,2011,1.8,MWac,2.25,5.0625,56250
Europe,Western Europe,France,Nouvelle-Aquitaine,Argilas solar farm,44.6528,-0.5959,approximate,Active,Medium,PV,2018,2018,4.4,MWac,5.5,12.375,137500
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Arles Confidentiel solar farm I,43.6776,4.631,approximate,Active,Medium,PV,2011,2011,3,MWac,3.75,8.4375,93750
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Arles Confidentiel solar farm II,43.6776,4.631,approximate,Active,Medium,PV,2016,2016,10.8,MWac,13.5,30.375,337500
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Armoriris Parves Et Nattages solar farm,45.7317,5.75,approximate,Active,Medium,PV,2022,2022,3.9,MWac,4.875,10.96875,121875
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Arpajon-sur-Cère Confidentiel solar farm,44.9034,2.457,approximate,Active,Medium,PV,2014,2014,8,MWac,10,22.5,250000
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Arras-sur-Rhône Confidentiel solar farm,45.1396,4.8067,approximate,Active,Medium,PV,2014,2014,3.8,MWac,4.75,10.6875,118750
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Artigues Confidentiel solar farm,43.5933,5.811,approximate,Active,Medium,PV,2022,2022,10.5,MWac,13.125,29.53125,328125
Europe,Western Europe,France,Bretagne,Arzal Confidentiel solar farm,47.5161,-2.3768,approximate,Active,Medium,PV,2021,2021,1.1,MWac,1.375,3.09375,34375
Europe,Western Europe,France,,As1607 solar project,45.6136,-0.6957,approximate,Active,Medium,PV,0,2017,2.5,MWac,3.125,7.03125,78125
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Aspres-sur-Buëch Confidentiel solar farm,44.5219,5.7502,approximate,Active,Medium,PV,2015,2015,4.9,MWac,6.125,13.78125,153125
Europe,Western Europe,France,Pays de la Loire,Aubigné-Racan Confidentiel solar farm,47.6905,0.2671,approximate,Active,Medium,PV,2021,2021,4.1,MWac,5.125,11.53125,128125
Europe,Western Europe,France,Nouvelle-Aquitaine,Aubusson solar farm,45.9547,2.1673,approximate,Active,Medium,PV,2021,2021,1.8,MWac,2.25,5.0625,56250
Europe,Western Europe,France,,Auriac-sur-Dropt Confidentiel solar project,44.6497,0.2467,approximate,Active,Medium,PV,0,2017,8,MWac,10,22.5,250000
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Aurillac Confidentiel solar farm,44.9285,2.4433,approximate,Active,Medium,PV,2014,2014,8.8,MWac,11,24.75,275000
Europe,Western Europe,France,Bourgogne-Franche-Comté,Aurinko Sarl solar farm,46.5617,4.9122,approximate,Active,Medium,PV,2014,2014,1.9,MWac,2.375,5.34375,59375
Europe,Western Europe,France,Occitanie,Aussonne Confidentiel solar farm,43.6829,1.318,approximate,Active,Medium,PV,2019,2019,4.1,MWac,5.125,11.53125,128125
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Avermes Confidentiel solar farm,46.5881,3.3102,approximate,Active,Medium,PV,2021,2021,2.2,MWac,2.75,6.1875,68750
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Avignon Confidentiel solar farm I,43.9493,4.8059,approximate,Active,Medium,PV,2014,2014,6,MWac,7.5,16.875,187500
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Avignon Confidentiel solar farm II,43.9493,4.8059,approximate,Active,Medium,PV,2016,2016,2.7,MWac,3.375,7.59375,84375
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Avignon Confidentiel solar farm III,43.9493,4.8059,approximate,Active,Medium,PV,2016,2016,1,MWac,1.25,2.8125,31250
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Avignon Confidentiel solar farm IV,43.9493,4.8059,approximate,Active,Medium,PV,2018,2018,4.6,MWac,5.75,12.9375,143750
Europe,Western Europe,France,,Avignon Confidentiel solar project I,43.9492,4.8059,approximate,Active,Medium,PV,2023,2023,1.6,MWac,2,4.5,50000
Europe,Western Europe,France,Occitanie,Avignonet Boralex Solaire solar farm,43.3664,1.7849,approximate,Active,Medium,PV,2011,2011,4,MWac,5,11.25,125000
Europe,Western Europe,France,Centre-Val de Loire,Avon-les-Roches Confidentiel solar farm,47.1571,0.4474,approximate,Active,Medium,PV,2012,2012,9.4,MWac,11.75,26.4375,293750
Europe,Western Europe,France,Pays de la Loire,Avrillé Confidentiel solar farm,46.4708,-1.4928,approximate,Active,Medium,PV,2017,2017,3.3,MWac,4.125,9.28125,103125
Europe,Western Europe,France,Nouvelle-Aquitaine,Azur Confidentiel solar farm I,43.7981,-1.2989,approximate,Active,Medium,PV,2019,2019,8,MWac,10,22.5,250000
Europe,Western Europe,France,Nouvelle-Aquitaine,Azur Confidentiel solar farm II,43.7981,-1.2989,approximate,Active,Medium,PV,2019,2019,4.4,MWac,5.5,12.375,137500
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,BC Transport Energie solar farm,43.1497,6.0737,approximate,Active,Medium,PV,2021,2021,1.2,MWac,1.5,3.375,37500
Europe,Western Europe,France,Occitanie,Badaroux Confidentiel solar farm,44.5361,3.5485,approximate,Active,Medium,PV,2020,2020,1.4,MWac,1.75,3.9375,43750
Europe,Western Europe,France,Grand Est,Badonviller Confidentiel solar farm,48.5004,6.8926,approximate,Active,Medium,PV,2021,2021,3.7,MWac,4.625,10.40625,115625
Europe,Western Europe,France,,Baho Confidentiel solar project,42.7042,2.8217,approximate,Active,Medium,PV,0,2017,2.5,MWac,3.125,7.03125,78125
Europe,Western Europe,France,Occitanie,Bajarre solar farm,43.8911,1.4389,approximate,Active,Medium,PV,2012,2012,4.1,MWac,5.125,11.53125,128125
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Banne Confidentiel solar farm,44.3681,4.1541,approximate,Active,Medium,PV,2020,2020,1.9,MWac,2.375,5.34375,59375
Europe,Western Europe,France,Occitanie,Banyuls-dels-Aspres Confidentiel solar farm,42.5662,2.8663,approximate,Active,Medium,PV,2022,2022,8.2,MWac,10.25,23.0625,256250
Europe,Western Europe,France,Centre-Val de Loire,Baraize Confidentiel solar farm,46.4885,1.5611,approximate,Active,Medium,PV,2021,2021,12.2,MWac,15.25,34.3125,381250
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Bargreen Larcos solar farm,43.8762,4.9012,approximate,Active,Medium,PV,2019,2019,1.8,MWac,2.25,5.0625,56250
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Bargreen solar farm,46.1089,4.7487,approximate,Active,Medium,PV,2021,2021,3.5,MWac,4.375,9.84375,109375
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Baryflor solar farm,43.4163,5.2146,approximate,Active,Medium,PV,2010,2010,1.1,MWac,1.375,3.09375,34375
Europe,Western Europe,France,Occitanie,Bascaud solar farm,43.4817,2.4909,approximate,Active,Medium,PV,2012,2012,1.6,MWac,2,4.5,50000
Europe,Western Europe,France,Nouvelle-Aquitaine,Bassillac et Auberoche Confidentiel solar farm I,45.1577,0.8686,approximate,Active,Medium,PV,2021,2021,9.8,MWac,12.25,27.5625,306250
Europe,Western Europe,France,Nouvelle-Aquitaine,Bassillac et Auberoche Confidentiel solar farm II,45.1577,0.8686,approximate,Active,Medium,PV,2022,2022,8.9,MWac,11.125,25.03125,278125
Europe,Western Europe,France,Grand Est,Batilly PV solar farm,49.1715,5.9697,approximate,Active,Medium,PV,2011,2011,9,MWac,11.25,25.3125,281250
Europe,Western Europe,France,Nouvelle-Aquitaine,Batiment Sitcom solar farm,43.6334,-1.3612,approximate,Active,Medium,PV,2020,2020,2.5,MWac,3.125,7.03125,78125
Europe,Western Europe,France,Nouvelle-Aquitaine,Bay Auberoche solar farm,45.1577,0.8686,approximate,Active,Medium,PV,2018,2018,8.8,MWac,11,24.75,275000
Europe,Western Europe,France,,Beaucaire 2 solar farm,43.7761,4.6371,exact,Active,Medium,PV,2021,2021,15.2,MWp/dc,15.2,34.2,380000
Europe,Western Europe,France,Occitanie,Beaucaire Confidentiel solar farm I,43.8085,4.6393,approximate,Active,Medium,PV,2016,2016,8.5,MWac,10.625,23.90625,265625
Europe,Western Europe,France,Occitanie,Beaucaire Confidentiel solar farm II,43.8085,4.6393,approximate,Active,Medium,PV,2019,2019,3.5,MWac,4.375,9.84375,109375
Europe,Western Europe,France,Occitanie,Beaucaire Confidentiel solar farm III,43.8085,4.6393,approximate,Active,Medium,PV,2021,2021,2.5,MWac,3.125,7.03125,78125
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Beauchastel solar farm,44.825,4.8003,approximate,Active,Medium,PV,2020,2020,2,MWac,2.5,5.625,62500
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Beaufort Confidentiel solar farm,45.3267,5.1216,approximate,Active,Medium,PV,2018,2018,1.6,MWac,2,4.5,50000
Europe,Western Europe,France,Occitanie,Beaumont-de-Lomagne Confidentiel solar farm,43.8818,0.9876,approximate,Active,Medium,PV,2011,2011,1,MWac,1.25,2.8125,31250
Europe,Western Europe,France,Nouvelle-Aquitaine,Beaupouyet Confidentiel solar farm,44.9974,0.2736,approximate,Active,Medium,PV,2017,2017,4.7,MWac,5.875,13.21875,146875
Europe,Western Europe,France,Pays de la Loire,Beaurepaire Confidentiel solar farm,46.9114,-1.0878,approximate,Active,Medium,PV,2022,2022,11.6,MWac,14.5,32.625,362500
Europe,Western Europe,France,Occitanie,Bellegarde Confidentiel solar farm I,43.7578,4.5159,approximate,Active,Medium,PV,2010,2010,2,MWac,2.5,5.625,62500
Europe,Western Europe,France,Occitanie,Bellegarde Confidentiel solar farm II,43.7578,4.5159,approximate,Active,Medium,PV,2010,2010,3.9,MWac,4.875,10.96875,121875
Europe,Western Europe,France,Occitanie,Belvesol solar farm,44.0842,4.3654,approximate,Active,Medium,PV,2014,2014,4.1,MWac,5.125,11.53125,128125
Europe,Western Europe,France,Occitanie,Belvesol solar farm,44.0842,4.3654,approximate,Active,Medium,PV,2014,2014,3.6,MWac,4.5,10.125,112500
Europe,Western Europe,France,Occitanie,Belvesol solar farm,44.0842,4.3654,approximate,Active,Medium,PV,2014,2014,8.2,MWac,10.25,23.0625,256250
Europe,Western Europe,France,Occitanie,Belvézet Confidentiel solar farm I,44.0842,4.3654,approximate,Active,Medium,PV,2017,2017,5,MWac,6.25,14.0625,156250
Europe,Western Europe,France,Occitanie,Belvézet Confidentiel solar farm II,44.0842,4.3654,approximate,Active,Medium,PV,2017,2017,5,MWac,6.25,14.0625,156250
Europe,Western Europe,France,Normandie,Benoîtville Confidentiel solar farm,49.5276,-1.7802,approximate,Active,Medium,PV,2012,2012,2.5,MWac,3.125,7.03125,78125
Europe,Western Europe,France,Nouvelle-Aquitaine,Bergerac Confidentiel solar farm I,44.8535,0.4875,approximate,Active,Medium,PV,2017,2017,1.1,MWac,1.375,3.09375,34375
Europe,Western Europe,France,Nouvelle-Aquitaine,Bergerac Confidentiel solar farm II,44.8535,0.4875,approximate,Active,Medium,PV,2019,2019,1.9,MWac,2.375,5.34375,59375
Europe,Western Europe,France,Nouvelle-Aquitaine,Bergerac Confidentiel solar farm III,44.8535,0.4875,approximate,Active,Medium,PV,2020,2020,8.5,MWac,10.625,23.90625,265625
Europe,Western Europe,France,Nouvelle-Aquitaine,Bergerac Confidentiel solar farm IV,44.8535,0.4875,approximate,Active,Medium,PV,2021,2021,4.4,MWac,5.5,12.375,137500
Europe,Western Europe,France,Occitanie,Berriac Confidentiel solar farm,43.2165,2.4139,approximate,Active,Medium,PV,2020,2020,7,MWac,8.75,19.6875,218750
Europe,Western Europe,France,Nouvelle-Aquitaine,Berroute solar farm,44.2126,-0.919,approximate,Active,Medium,PV,2015,2015,7,MWac,8.75,19.6875,218750
Europe,Western Europe,France,,Bessac Confidentiel solar project,45.4298,-0.0188,approximate,Active,Medium,PV,0,2017,2.1,MWac,2.625,5.90625,65625
Europe,Western Europe,France,,Bessay-sur-Allier Confidentiel solar project I,46.4421,3.3631,approximate,Active,Medium,PV,2023,2023,8.8,MWac,11,24.75,275000
Europe,Western Europe,France,,Bessay-sur-Allier Confidentiel solar project II,46.4421,3.3631,approximate,Active,Medium,PV,2023,2023,6,MWac,7.5,16.875,187500
Europe,Western Europe,France,,Bessay-sur-Allier Confidentiel solar project III,46.4421,3.3631,approximate,Active,Medium,PV,2023,2023,2.7,MWac,3.375,7.59375,84375
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Besse-sur-Issole Confidentiel solar farm,43.3494,6.177,approximate,Active,Medium,PV,2013,2013,12.5,MWac,15.625,35.15625,390625
Europe,Western Europe,France,,Bessey-en-Chaume Confidentiel solar project,47.0811,4.7425,approximate,Active,Medium,PV,0,2017,4.3,MWac,5.375,12.09375,134375
Europe,Western Europe,France,Occitanie,Bessières Confidentiel solar farm I,43.8002,1.6077,approximate,Active,Medium,PV,2021,2021,7.5,MWac,9.375,21.09375,234375
Europe,Western Europe,France,Occitanie,Bessières Confidentiel solar farm II,43.8002,1.6077,approximate,Active,Medium,PV,2022,2022,1.7,MWac,2.125,4.78125,53125
Europe,Western Europe,France,,Betjanot solar project,44.3143,0.0881,approximate,Active,Medium,PV,0,2017,10.2,MWac,12.75,28.6875,318750
Europe,Western Europe,France,,Betjanot solar project,44.3143,0.0881,approximate,Active,Medium,PV,0,2017,9.6,MWac,12,27,300000
Europe,Western Europe,France,,Betjanot solar project,44.3143,0.0881,approximate,Active,Medium,PV,0,2017,10.2,MWac,12.75,28.6875,318750
Europe,Western Europe,France,,Betjanot solar project,44.3143,0.0881,approximate,Active,Medium,PV,0,2017,4.2,MWac,5.25,11.8125,131250
Europe,Western Europe,France,Occitanie,Bezouce Confidentiel solar farm,43.8813,4.4873,approximate,Active,Medium,PV,2014,2014,1,MWac,1.25,2.8125,31250
Europe,Western Europe,France,Hauts-de-France,Bigben Interactive solar farm,50.3907,3.0462,approximate,Active,Medium,PV,2017,2017,1.1,MWac,1.375,3.09375,34375
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Billom Confidentiel solar farm,45.7221,3.3391,approximate,Active,Medium,PV,2019,2019,4,MWac,5,11.25,125000
Europe,Western Europe,France,Centre-Val de Loire,Billy Confidentiel solar farm,47.3121,1.5403,approximate,Active,Medium,PV,2022,2022,4.1,MWac,5.125,11.53125,128125
Europe,Western Europe,France,,Billy Confidentiel solar project I,47.3121,1.5403,approximate,Active,Medium,PV,0,2017,4.1,MWac,5.125,11.53125,128125
Europe,Western Europe,France,Occitanie,Bioule solar farm,44.0903,1.5392,approximate,Active,Medium,PV,2021,2021,10.8,MWac,13.5,30.375,337500
Europe,Western Europe,France,Bourgogne-Franche-Comté,Bissey-sous-Cruchaud Confidentiel solar farm,46.732,4.6844,approximate,Active,Medium,PV,2021,2021,3.9,MWac,4.875,10.96875,121875
Europe,Western Europe,France,Occitanie,Blajan Confidentiel solar farm I,43.2597,0.6429,approximate,Active,Medium,PV,2021,2021,10.1,MWac,12.625,28.40625,315625
Europe,Western Europe,France,Occitanie,Blajan Confidentiel solar farm II,43.2597,0.6429,approximate,Active,Medium,PV,2022,2022,1.7,MWac,2.125,4.78125,53125
Europe,Western Europe,France,Nouvelle-Aquitaine,Blanquefort Confidentiel solar farm,44.9089,-0.63,approximate,Active,Medium,PV,2012,2012,3,MWac,3.75,8.4375,93750
Europe,Western Europe,France,,Blanquefort Confidentiel solar project I,44.9089,-0.63,approximate,Active,Medium,PV,0,2017,14.3,MWac,17.875,40.21875,446875
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Blauvac Confidentiel solar farm,44.0305,5.1981,approximate,Active,Medium,PV,2011,2011,2.3,MWac,2.875,6.46875,71875
Europe,Western Europe,France,,Blaux solar project,44.4291,6.0387,approximate,Active,Medium,PV,0,2017,7,MWac,8.75,19.6875,218750
Europe,Western Europe,France,,Blaux solar project,44.4291,6.0387,approximate,Active,Medium,PV,0,2017,9,MWac,11.25,25.3125,281250
Europe,Western Europe,France,,Blaux solar project,44.4291,6.0387,approximate,Active,Medium,PV,0,2017,7.4,MWac,9.25,20.8125,231250
Europe,Western Europe,France,Auvergne-Rhône-Alpes,Blavozy Confidentiel solar farm,45.0571,3.9806,approximate,Active,Medium,PV,2011,2011,3,MWac,3.75,8.4375,93750
Europe,Western Europe,France,Occitanie,Blaye-les-Mines Confidentiel solar farm I,44.0301,2.1323,approximate,Active,Medium,PV,2016,2016,4.8,MWac,6,13.5,150000
Europe,Western Europe,France,Occitanie,Blaye-les-Mines Confidentiel solar farm II,44.0301,2.1323,approximate,Active,Medium,PV,2016,2016,2.5,MWac,3.125,7.03125,78125
Europe,Western Europe,France,Occitanie,Blaye-les-Mines Confidentiel solar farm III,44.0301,2.1323,approximate,Active,Medium,PV,2018,2018,9.3,MWac,11.625,26.15625,290625
Europe,Western Europe,France,Nouvelle-Aquitaine,Blond Confidentiel solar farm,46.0452,1.0174,approximate,Active,Medium,PV,2017,2017,5.5,MWac,6.875,15.46875,171875
Europe,Western Europe,France,,Blyes Centrale Solaire Tq 1 - 01150 solar project II,45.8469,5.2487,approximate,Active,Medium,PV,2022,2022,8.8,MWac,11,24.75,275000
Europe,Western Europe,France,Nouvelle-Aquitaine,Boalia solar farm,44.3906,0.3092,approximate,Active,Medium,PV,2016,2016,2.7,MWac,3.375,7.59375,84375
Europe,Western Europe,France,Bourgogne-Franche-Comté,Bois-de-Gand Confidentiel solar farm,46.8269,5.4985,approximate,Active,Medium,PV,2022,2022,4,MWac,5,11.25,125000
Europe,Western Europe,France,Occitanie,Boissières Confidentiel solar farm,43.7748,4.2338,approximate,Active,Medium,PV,2015,2015,8.2,MWac,10.25,23.0625,256250
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Bollenne solar farm,44.2804,4.7484,approximate,Active,Medium,PV,2019,2019,3.2,MWac,4,9,100000
Europe,Western Europe,France,Provence-Alpes-Côte d'Azur,Bollène Confidentiel solar farm,44.2804,4.7484,approximate,Active,Medium,PV,2011,2011,4,MWac,5,11.25,125000
Europe,Western Europe,France,Occitanie,Bompas Confidentiel solar farm,42.73,2.9349,approximate,Active,Medium,PV,2019,2019,1.5,MWac,1.875,4.21875,46875
Europe,Western Europe,France,Nouvelle-Aquitaine,Bonnat Confidentiel solar farm,46.3278,1.9041,approximate,Active,Medium,PV,2012,2012,5.1,MWac,6.375,14.34375,159375
Europe,Western Europe,France,Bretagne,Bonnemain Confidentiel solar farm,48.4674,-1.7655,approximate,Active,Medium,PV,2011,2011,2,MWac,2.5,5.625,62500
Europe,Western Europe,France,,Boralex Pézènes solar project,43.5885,3.2518,approximate,Active,Medium,PV,0,2017,8.8,MWac,11,24.75,275000
